timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6564000,6564000,0.99384993,0.008137515,-0.0118941,-0.109793894,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6568000,6568000,0.993829,0.008044325,-0.012163352,-0.10996027,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6576000,6576000,0.99378973,0.0077542313,-0.012653044,-0.110280156,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6580000,6580000,0.9937881,0.0076831705,-0.012547634,-0.11031199,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6584000,6584000,0.9938013,0.007732064,-0.012290001,-0.110219516,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6588000,6588000,0.9938167,0.00774344,-0.012042976,-0.110107265,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6592000,6592000,0.9938223,0.007739953,-0.011894339,-0.11007259,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6596000,6596000,0.99383384,0.0077418094,-0.011988991,-0.10995759,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6600000,6600000,0.99384815,0.0077723926,-0.0120253805,-0.109822266,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6604000,6604000,0.9938491,0.0078118555,-0.0118610095,-0.10982866,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6608000,6608000,0.99383044,0.007918112,-0.011720142,-0.11000432,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6616000,6616000,0.99377996,0.008162317,-0.012024653,-0.110409915,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6620000,6620000,0.99377143,0.008095836,-0.012128352,-0.11047974,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6624000,6624000,0.99377364,0.00787547,-0.012052673,-0.1104842,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6628000,6628000,0.993801,0.007642789,-0.012019318,-0.110258065,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6632000,6632000,0.99384177,0.0076230504,-0.012108987,-0.10988065,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6640000,6640000,0.99392676,0.007531394,-0.01213897,-0.109112106,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6644000,6644000,0.993971,0.0074413368,-0.011924808,-0.10873929,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6648000,6648000,0.9940017,0.007488184,-0.0118066855,-0.10846749,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6652000,6652000,0.9940106,0.0075796447,-0.011760465,-0.108384944,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6656000,6656000,0.99401027,0.0076685078,-0.011964729,-0.108359054,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6664000,6664000,0.9940297,0.007769272,-0.0122379195,-0.108142816,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
6668000,6668000,0.9940539,0.007950276,-0.012177253,-0.10791395,0.9999996,6.9849204e-10,-1.6880224e-09,0.0009506644,1
