timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
994957110,994954824,989553489,43.781812599999995,-79.4664648,0.2526893,-0.07588556,0.2631558,-0.033358477,0.0802805,-1.4530041,0.020385493,-0.00078335847,0.0359615,0.040706683,-0.005967029,0.0119490735,-0.037355017,0.35141218,-0.17786314,-1.4754573,1.4337527,0.05086324,189.69801,0.10015109,0.33166718,0.2891452,0.13289064,0.10082327,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995046370,995044996,989553489,43.781812599999995,-79.4664648,0.25702566,-0.077335775,0.26796645,-0.033358477,0.0802805,-1.4530041,0.014397547,-0.0021397963,0.03820314,0.043903027,-0.005967029,0.0119490735,-0.037355017,-0.9151298,-0.7857154,-0.83954346,1.4337339,0.05086324,189.69801,0.09473112,0.33890006,0.2934169,0.13672864,0.102392636,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995154827,995153205,989553489,43.781812599999995,-79.4664648,0.2615144,-0.0786967,0.27307907,-0.033358477,0.0802805,-1.4530041,0.01939032,-0.0010686903,0.044883393,0.050608598,-0.005967029,0.0119490735,-0.037355017,0.08551354,0.4212089,0.50066525,1.4336596,0.05086324,189.69801,0.09897444,0.33146074,0.28881586,0.13280056,0.10059588,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995254065,995252393,989553489,43.781812599999995,-79.4664648,0.26587805,-0.07951779,0.27896297,-0.033358477,0.0802805,-1.4530041,0.016403344,-0.0011615112,0.04974375,0.056227833,-0.005967029,0.0119490735,-0.037355017,0.704187,0.44495437,-0.753259,1.4338679,0.05086324,189.69801,0.09341973,0.3394301,0.293709,0.13698608,0.10235796,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995353186,995351583,989553489,43.781812599999995,-79.4664648,0.2698191,-0.08026032,0.2839058,-0.033358477,0.0802805,-1.4530041,0.0143075185,-0.0015580829,0.039769758,0.046140876,-0.005967029,0.0119490735,-0.037355017,0.84114,0.32944515,-1.9537961,1.4338326,0.05086324,189.69801,0.10056248,0.33127293,0.288489,0.13270906,0.100391716,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995452568,995450773,989553489,43.781812599999995,-79.4664648,0.27575248,-0.08209257,0.29037943,-0.033358477,0.0802805,-1.4530041,0.018206147,-0.001687829,0.051975,0.05942411,-0.005967029,0.0119490735,-0.037355017,-0.020978134,0.018930063,-0.84554857,1.4338205,0.05086324,189.69801,0.09324697,0.3392363,0.29336756,0.13695572,0.10215622,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995551879,995549965,989553489,43.781812599999995,-79.4664648,0.28083798,-0.08367249,0.29534334,-0.033358477,0.0802805,-1.4530041,0.020447034,-0.0005292672,0.04312666,0.049933128,-0.005967029,0.0119490735,-0.037355017,1.3045741,0.20818017,-3.1614976,1.4337476,0.05086324,189.69801,0.0977703,0.3310827,0.2881723,0.13264447,0.10021197,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995651800,995649152,989553489,43.781812599999995,-79.4664648,0.28627616,-0.08552742,0.30188966,-0.033358477,0.0802805,-1.4530041,0.010282292,-0.0040350384,0.05946705,0.06694172,-0.005967029,0.0119490735,-0.037355017,-1.1947129,-0.3945561,0.5799226,1.4337211,0.05086324,189.69801,0.09331745,0.33904058,0.29302797,0.13690571,0.10197636,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995750094,995748343,989553489,43.781812599999995,-79.4664648,0.29109555,-0.086855136,0.30672935,-0.033358477,0.0802805,-1.4530041,0.017078137,-0.002415629,0.058309685,0.06450226,-0.005967029,0.0119490735,-0.037355017,0.90960634,0.3022031,-2.8028255,1.4350289,0.05086324,189.69801,0.094875336,0.3309094,0.28785723,0.13261917,0.10005159,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
995848977,995847532,989553489,43.781812599999995,-79.4664648,0.29766834,-0.08786145,0.31209147,-0.033358477,0.0802805,-1.4530041,0.0009799514,-0.0010090221,0.04559668,0.051074997,-0.005967029,0.0119490735,-0.037355017,0.7134415,-0.2719721,-0.5364902,1.434736,0.05086324,189.69801,0.0906246,0.33886296,0.29372334,0.13676552,0.1019885,inf,inf,inf,inf,1,1,1,1,12,18,2,2,4,0,1,1,0,0,0
