timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
433233865,433232738,0.71111673,0.013515214,0.01008369,0.7028718,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433283573,433282373,0.7113187,0.013336032,0.0134224985,0.702615,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433333132,433331914,0.711247,0.013952975,0.01762593,0.7025827,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433382968,433381558,0.71111906,0.013667504,0.022210991,0.7025878,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433432501,433431098,0.7104517,0.013206896,0.02632371,0.70312953,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433486275,433485198,0.7087979,0.01333498,0.031080836,0.70460045,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433531528,433530282,0.7068127,0.01440783,0.034105968,0.70643127,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433581277,433579920,0.7032349,0.015536056,0.036465634,0.70985186,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433634998,433634020,0.6997709,0.01397473,0.03374961,0.7134328,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433684879,433683566,0.6971134,0.011847207,0.030165115,0.71622807,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433734178,433733204,0.69506943,0.010759084,0.02375617,0.71846956,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433783962,433782750,0.6934443,0.0108848205,0.01954715,0.72016287,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433833521,433832389,0.6923128,0.0109197125,0.016542977,0.7213253,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433882953,433881936,0.6917348,0.011248056,0.012555261,0.7219549,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433932985,433931572,0.6912435,0.0059659434,0.008038155,0.7225526,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
433982161,433981118,0.6908697,0.0039385674,0.005498287,0.7229478,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434031860,434030755,0.69082767,0.004500946,0.0039921044,0.7229945,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434081389,434080301,0.690631,0.002944637,4.3259068e-05,0.72320133,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434135514,434134404,0.6908936,0.0027701096,-0.0028486594,0.7229456,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434185081,434184040,0.6912539,0.0027564222,-0.0043018744,0.7225939,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434234615,434233586,0.6915279,0.003048025,-0.005554119,0.72232205,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434284534,434283225,0.69173604,0.0037789214,-0.0075209937,0.72210145,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434334055,434332770,0.69211966,0.004899323,-0.008999525,0.7217101,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434383535,434382407,0.6926764,0.00505567,-0.011133331,0.72114486,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434433084,434431954,0.693091,0.005704987,-0.01294328,0.72071135,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434487067,434486053,0.6935588,0.005510488,-0.01494439,0.72022396,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434532163,434531137,0.6940286,0.005579614,-0.017430516,0.71971476,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434581852,434580786,0.6943577,0.005630422,-0.019118069,0.71935403,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434631502,434630321,0.6946607,0.0070353383,-0.019861821,0.71902895,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434685540,434684422,0.69515806,0.006774951,-0.021510946,0.7185032,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434735058,434734059,0.6958675,0.0056272596,-0.022132307,0.7178071,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434784639,434783605,0.6964727,0.0041412795,-0.02277661,0.7172098,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434834204,434833245,0.6970878,0.002041803,-0.024004271,0.716581,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434884047,434882789,0.6977768,-0.00010079663,-0.02405136,0.7159114,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434933554,434932433,0.6981439,-0.0018821253,-0.025952226,0.7154845,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
434983118,434981973,0.6983278,-0.0031334404,-0.028798593,0.7151918,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435032720,435031610,0.6983505,-0.0061107576,-0.029841559,0.7151075,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435082188,435081156,0.69846576,-0.009612838,-0.030223306,0.71494037,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435131888,435130794,0.69855905,-0.011950955,-0.030215422,0.7148143,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435186011,435184896,0.69850874,-0.013607229,-0.030424278,0.714825,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435235716,435234444,0.6984189,-0.015300459,-0.031485662,0.7148326,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435285381,435284080,0.69849455,-0.017073756,-0.03241805,0.71467686,0.9991843,-8.1680374e-10,-2.3654811e-09,0.040382013,3
435330172,435329162,0.68063927,-0.01795464,-0.032590304,0.73167324,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435384314,435383262,0.68263096,-0.019734804,-0.03239184,0.7297783,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435433979,435432816,0.6850081,-0.020795047,-0.03107281,0.7275755,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435484012,435482447,0.6875925,-0.02136589,-0.030209344,0.72515345,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435533238,435531999,0.6900654,-0.021514758,-0.028874287,0.7228508,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435583218,435581631,0.6921795,-0.021571603,-0.027853794,0.7208651,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435632309,435631176,0.694004,-0.021922192,-0.026850104,0.71913624,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435682013,435680825,0.69573635,-0.022417793,-0.026590878,0.7174548,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435736135,435734916,0.69717073,-0.02276936,-0.026236007,0.7160631,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435785598,435784461,0.6983149,-0.023254927,-0.025483744,0.71495885,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435830756,435829545,0.69926965,-0.023304647,-0.023716874,0.7140844,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435880515,435879181,0.70034516,-0.02363041,-0.022028426,0.713073,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435934221,435933281,0.7015195,-0.023455227,-0.020950964,0.7119561,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
435983988,435982828,0.7024478,-0.023052448,-0.021043645,0.71105057,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436033585,436032466,0.70321435,-0.024305845,-0.021185389,0.71024644,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436083292,436082011,0.7035779,-0.02561211,-0.021094816,0.70984316,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436132708,436131654,0.70373315,-0.026608124,-0.021815395,0.7096307,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436182235,436181197,0.70383334,-0.028093265,-0.021933878,0.7094705,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436231886,436230832,0.7037052,-0.028849239,-0.022400893,0.70955265,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436286090,436284933,0.7036704,-0.029813677,-0.0215606,0.7095733,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436331135,436330016,0.70367223,-0.031550955,-0.021259883,0.70950544,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436381026,436379562,0.7037468,-0.033121847,-0.02025259,0.7093893,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436434724,436433662,0.7037388,-0.034759626,-0.020273324,0.7093184,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436484573,436483301,0.70374167,-0.035679042,-0.020259455,0.70927024,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
436533967,436532846,0.7035595,-0.035844494,-0.020167474,0.70944524,0.99967664,1.2790252e-09,3.6191345e-09,0.025428876,4
