timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
993948312,0.0,0.0,1.434335,0.0,0.7536704,0.0,0.0,0.65725255,0.0,0.0,-0.001,0,0
993956609,0.0,0.0,1.4343355,0.0,0.7536703,0.0,0.0,0.65725267,0.0,0.0,-0.001,0,0
994001623,0.0,0.0,1.4342759,0.0,0.7536898,0.0,0.0,0.6572303,0.0,0.0,-0.001,0,0
994054998,0.0,0.0,1.4342927,0.0,0.75368434,0.0,0.0,0.6572366,0.0,0.0,-0.001,0,0
994099985,0.0,0.0,1.4342709,0.0,0.7536915,0.0,0.0,0.6572284,0.0,0.0,-0.001,0,0
994154197,0.0,0.0,1.4342126,0.0,0.7537106,0.0,0.0,0.6572064,0.0,0.0,-0.001,0,0
994199663,0.0,0.0,1.4342226,0.0,0.7537074,0.0,0.0,0.65721023,0.0,0.0,-0.001,0,0
994253412,0.0,0.0,1.434178,0.0,0.753722,0.0,0.0,0.65719336,0.0,0.0,-0.001,0,0
994298426,0.0,0.0,1.434151,0.0,0.7537309,0.0,0.0,0.6571832,0.0,0.0,-0.001,0,0
994352406,0.0,0.0,1.4341742,0.0,0.75372326,0.0,0.0,0.657192,0.0,0.0,-0.001,0,0
994406363,0.0,0.0,1.434146,0.0,0.75373256,0.0,0.0,0.65718126,0.0,0.0,-0.001,0,0
994451680,0.0,0.0,1.4340818,0.0,0.75375366,0.0,0.0,0.6571571,0.0,0.0,-0.001,0,0
994505622,0.0,0.0,1.4340746,0.0,0.753756,0.0,0.0,0.65715444,0.0,0.0,-0.001,0,0
994551943,0.0,0.0,1.4340067,0.0,0.75377834,0.0,0.0,0.65712875,0.0,0.0,-0.001,0,0
994604995,0.0,0.0,1.4339619,0.0,0.753793,0.0,0.0,0.657112,0.0,0.0,-0.001,0,0
994650105,0.0,0.0,1.4340056,0.0,0.75377864,0.0,0.0,0.65712845,0.0,0.0,-0.001,0,0
994704259,0.0,0.0,1.433944,0.0,0.7537989,0.0,0.0,0.65710527,0.0,0.0,-0.001,0,0
994750668,0.05369138,-0.0017425623,1.4350097,0.0,0.7531615,0.020797076,0.016992865,0.6572872,0.0,0.0,-0.012054167,0,0
994803918,0.053736825,-0.002838475,1.4350097,0.0,0.7531509,0.021174334,0.016595084,0.6572975,0.0,0.0,-0.020988578,0,0
994848926,0.053769637,-0.0022103172,1.4350097,0.0,0.75315636,0.020980263,0.016842429,0.6572912,0.0,0.0,-0.028438525,0,0
