timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
431278927,0.0,0.0,1.562582,0.0,0.710005,0.0,0.0,0.70419663,0.0,0.0,-0.001,0,0
431332685,0.0,0.0,1.5625567,0.0,0.7100139,0.0,0.0,0.7041877,0.0,0.0,-0.001,0,0
431386129,0.0,0.0,1.5626074,0.0,0.70999604,0.0,0.0,0.70420575,0.0,0.0,-0.001,0,0
431431730,0.0,0.0,1.5626432,0.0,0.70998347,0.0,0.0,0.7042184,0.0,0.0,-0.001,0,0
431476464,0.0,0.0,1.5626209,0.0,0.70999134,0.0,0.0,0.70421046,0.0,0.0,-0.001,0,0
431530314,0.0,0.0,1.5626662,0.0,0.70997536,0.0,0.0,0.70422655,0.0,0.0,-0.001,0,0
431584640,0.0,0.0,1.5626782,0.0,0.70997113,0.0,0.0,0.7042308,0.0,0.0,-0.001,0,0
431629790,0.0,0.0,1.5626501,0.0,0.709981,0.0,0.0,0.7042209,0.0,0.0,-0.001,0,0
431683567,0.0,0.0,1.5627196,0.0,0.7099566,0.0,0.0,0.70424545,0.0,0.0,-0.001,0,0
431728902,0.0,0.0,1.5626594,0.0,0.70997775,0.0,0.0,0.7042241,0.0,0.0,-0.001,0,0
431782653,0.0,0.0,1.5626662,0.0,0.70997536,0.0,0.0,0.70422655,0.0,0.0,-0.001,0,0
431827997,0.031975046,0.0029946682,1.5580554,0.0,0.71152204,0.010324301,0.012297509,0.7024803,0.0,0.0,-0.014782994,0,0
431881923,0.031663965,0.0035594315,1.5580554,0.0,0.71152645,0.010015255,0.01238916,0.70247877,0.0,0.0,-0.02397421,0,0
431936147,0.032701906,0.0041428353,1.5580554,0.0,0.7115241,0.01017959,0.012961265,0.70246834,0.0,0.0,-0.033024956,0,0
431981391,0.032807823,0.0036664451,1.5580554,0.0,0.7115212,0.010384605,0.012828993,0.7024708,0.0,0.0,-0.041182943,0,0
432026205,0.032645952,0.0036641543,1.5580554,0.0,0.71152204,0.010327823,0.012771323,0.70247185,0.0,0.0,-0.04961696,0,0
